,filename,cell_type,cell_type_dual,mesh_type,activation_time,cell_surface_area_um^2,mesh_density,equivalent_diameter_area_um^2_mean,equivalent_diameter_area_um^2_median,area_um^2_mean,area_um^2_median,perimeter_um_mean,perimeter_um_median
3376,1min_UNT_FOV3_decon.tif,Untransduced,Untransduced,Basal,1min,30.155419592914264,67.85086434222092,0.009508811922779886,0.00849795367595755,0.09261769290440194,0.051356102075538854,1.2465534403456566,0.8372186407618178
3489,1min_UNT_FOV3_decon.tif,Untransduced,Untransduced,Cytosolic,1min,46.38063455187645,66.70079771401358,0.009508811922779886,0.00849795367595755,0.09261769290440194,0.051356102075538854,1.2465534403456566,0.8372186407618178
3676,1min_UNT_FOV5_decon.tif,Untransduced,Untransduced,Basal,1min,36.836680658750645,68.9532117367169,0.007699561834396115,0.0064093797092693,0.08890986086701017,0.0397611541166354,1.2322481430984997,0.7210862686796243
3853,1min_UNT_FOV5_decon.tif,Untransduced,Untransduced,Cytosolic,1min,54.904473670199714,63.51571044308474,0.007699561834396115,0.0064093797092693,0.08890986086701017,0.0397611541166354,1.2322481430984997,0.7210862686796243
4061,3min_Fri_FOV1_decon.tif,Untransduced,Untransduced,Basal,3min,116.7097791554945,64.09050475992203,0.008375182119978642,0.0070496758622087,0.09540429060394075,0.0353418336863923,1.0874961816957003,0.6532562413249886
4587,3min_Fri_FOV1_decon.tif,Untransduced,Untransduced,Cytosolic,3min,125.9947415242914,58.67497655174832,0.008375182119978642,0.0070496758622087,0.09540429060394075,0.0353418336863923,1.0874961816957003,0.6532562413249886
5079,3min_Fri_FOV2_decon.tif,Untransduced,Untransduced,Basal,3min,230.8900202435009,60.08957090302786,0.007903282905496838,0.0068002394580934,0.11418403668621192,0.0324539935490605,1.0462925121053601,0.6102710634949933
6147,3min_Fri_FOV2_decon.tif,Untransduced,Untransduced,Cytosolic,3min,226.9149655853539,50.636451064039655,0.007903282905496838,0.0068002394580934,0.11418403668621192,0.0324539935490605,1.0462925121053601,0.6102710634949933
6907,3min_Thurs_FOV1_decon.tif,Untransduced,Untransduced,Basal,3min,103.94898748378765,63.71242084171333,0.0061682057691470355,0.0052617418299995,0.069902068949235,0.0279785837071599,0.913746024805041,0.5816455043987763
7546,3min_Thurs_FOV1_decon.tif,Untransduced,Untransduced,Cytosolic,3min,94.60491770847696,60.68940588853838,0.0061682057691470355,0.0052617418299995,0.069902068949235,0.0279785837071599,0.913746024805041,0.5816455043987763
